1,9,2022,6288673.0,3372252.31
2,6,2022,2649001.96,2302253.0
3,14,2022,2475656.11,2162348.73
4,1,2022,8009445.53,2940867.09
5,7,2022,283333.66,31087.0
6,3,2022,6044489.0,2098227.07
7,8,2022,770913.77,462237.84
8,15,2022,9116934.0,154324.82
9,4,2022,5651675.0,4802004.0
10,2,2022,3864669.0,740038.82
11,10,2022,9310117.0,1078131.37
12,12,2022,6740064.8,3221985.77
13,5,2022,816795.32,120566.49
14,13,2022,2836404.43,190405.08
15,11,2022,1561928.74,337970.53
16,6,2021,4768655.0,1232030.49
17,9,2020,4775662.0,1418792.29
18,13,2021,1974360.53,1837732.0
19,1,2023,9844560.0,3604187.0
20,10,2048,4261882.0,2383815.0
